timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1713203427235,468,01_Accessing wikipedia,200,OK,01_Wikipedia 1-2,text,true,,79457,238,3,3,https://www.wikipedia.org/,29,0,15
1713203427235,29,01_Accessing wikipedia-0,301,Moved Permanently,01_Wikipedia 1-2,,true,,173,119,3,3,http://www.wikipedia.org/,29,0,15
1713203427266,437,01_Accessing wikipedia-1,200,OK,01_Wikipedia 1-2,text,true,,79284,119,3,3,https://www.wikipedia.org/,411,0,381
1713203427016,691,01_Accessing wikipedia,200,OK,01_Wikipedia 1-1,text,true,,79457,238,3,3,https://www.wikipedia.org/,81,0,58
1713203427016,84,01_Accessing wikipedia-0,301,Moved Permanently,01_Wikipedia 1-1,,true,,173,119,3,3,http://www.wikipedia.org/,81,0,58
1713203427103,604,01_Accessing wikipedia-1,200,OK,01_Wikipedia 1-1,text,true,,79284,119,3,3,https://www.wikipedia.org/,574,0,546
1713203427651,148,01_Accessing wikipedia,200,OK,01_Wikipedia 1-3,text,true,,79457,238,3,3,https://www.wikipedia.org/,39,0,17
1713203427651,39,01_Accessing wikipedia-0,301,Moved Permanently,01_Wikipedia 1-3,,true,,173,119,3,3,http://www.wikipedia.org/,39,0,17
1713203427692,107,01_Accessing wikipedia-1,200,OK,01_Wikipedia 1-3,text,true,,79284,119,3,3,https://www.wikipedia.org/,76,0,57
1713203427707,169,02_Search to wikipedia,200,OK,01_Wikipedia 1-2,text,true,,100905,272,3,3,https://en.wikipedia.org/wiki/Apache_JMeter,49,0,33
1713203427707,49,02_Search to wikipedia-0,301,Moved Permanently,01_Wikipedia 1-2,,true,,190,136,3,3,http://en.wikipedia.org/wiki/Apache_JMeter,49,0,33
1713203427757,119,02_Search to wikipedia-1,200,OK,01_Wikipedia 1-2,text,true,,100715,136,3,3,https://en.wikipedia.org/wiki/Apache_JMeter,73,0,53
1713203427709,174,02_Search to wikipedia,200,OK,01_Wikipedia 1-1,text,true,,100905,272,3,3,https://en.wikipedia.org/wiki/Apache_JMeter,47,0,30
1713203427709,47,02_Search to wikipedia-0,301,Moved Permanently,01_Wikipedia 1-1,,true,,190,136,3,3,http://en.wikipedia.org/wiki/Apache_JMeter,47,0,30
1713203427757,126,02_Search to wikipedia-1,200,OK,01_Wikipedia 1-1,text,true,,100715,136,3,3,https://en.wikipedia.org/wiki/Apache_JMeter,74,0,55
1713203427877,91,03_Login to wiki,200,OK,01_Wikipedia 1-2,text,true,,79457,238,3,3,https://www.wikipedia.org/,30,0,17
1713203427877,30,03_Login to wiki-0,301,Moved Permanently,01_Wikipedia 1-2,,true,,173,119,3,3,http://www.wikipedia.org/,30,0,17
1713203427908,60,03_Login to wiki-1,200,OK,01_Wikipedia 1-2,text,true,,79284,119,3,3,https://www.wikipedia.org/,18,0,0
1713203427884,90,03_Login to wiki,200,OK,01_Wikipedia 1-1,text,true,,79457,238,2,2,https://www.wikipedia.org/,30,0,14
1713203427802,172,02_Search to wikipedia,200,OK,01_Wikipedia 1-3,text,true,,100905,272,2,2,https://en.wikipedia.org/wiki/Apache_JMeter,30,0,15
1713203427884,30,03_Login to wiki-0,301,Moved Permanently,01_Wikipedia 1-1,,true,,173,119,2,2,http://www.wikipedia.org/,30,0,14
1713203427802,30,02_Search to wikipedia-0,301,Moved Permanently,01_Wikipedia 1-3,,true,,190,136,2,2,http://en.wikipedia.org/wiki/Apache_JMeter,30,0,15
1713203427915,59,03_Login to wiki-1,200,OK,01_Wikipedia 1-1,text,true,,79284,119,2,2,https://www.wikipedia.org/,34,0,0
1713203427833,141,02_Search to wikipedia-1,200,OK,01_Wikipedia 1-3,text,true,,100715,136,2,2,https://en.wikipedia.org/wiki/Apache_JMeter,84,0,63
1713203427975,64,03_Login to wiki,200,OK,01_Wikipedia 1-3,text,true,,79457,238,2,2,https://www.wikipedia.org/,29,0,14
1713203427975,29,03_Login to wiki-0,301,Moved Permanently,01_Wikipedia 1-3,,true,,173,119,2,2,http://www.wikipedia.org/,29,0,14
1713203428004,35,03_Login to wiki-1,200,OK,01_Wikipedia 1-3,text,true,,79284,119,2,2,https://www.wikipedia.org/,19,0,0
1713203428016,126,01_Accessing wikipedia,200,OK,01_Wikipedia 1-4,text,true,,79457,238,1,1,https://www.wikipedia.org/,31,0,16
